sector,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,
iron and steel,70.2436328,81.61,86.27,90.66,100.64,118.91,91.89,67.62,55.71,50.01,43.10,32.03,
cement,44.3956055,48.37,67.75,90.44,115.87,142.98,135.64,133.44,122.34,102.37,83.84,67.19,
N fertilizer,10.60209,10.76,11.55,12.10,11.62,10.38,9.02,8.07,6.94,5.51,4.19,3.23,
electricity,307.6203313,319.85,412.04,494.55,567.03,624.97,496.16,318.60,114.38,22.21,3.99,0.53,
iron and steel,70.2436328,81.61,86.27,86.13,91.58,107.02,89.19,71.35,53.52,35.68,17.85,0.01,
cement,44.3956055,48.37,67.75,85.92,106.60,128.68,115.57,102.46,89.34,76.23,63.11,50.00,
N fertilizer,10.60209,10.764439,11.54757358,11.49417853,10.63558824,9.338678613,7.783898844,6.229119075,4.674339306,3.119559538,1.564779769,0.01,
electricity,307.6203313,319.8453463,412.0430939,469.8196682,521.6669372,562.4725285,468.7287737,374.985019,281.2412642,187.4975095,93.75375475,0.01,
iron and steel,70.2436328,81.6077457,86.2725164,86.12863112,94.60107177,110.5880069,92.15833907,73.72867126,55.29900344,36.86933563,18.43966781,0.01,
cement,44.3956055,48.3745927,67.74836667,89.54044352,113.5545565,138.6930361,123.9108634,109.1286907,94.34651803,79.56434535,64.78217268,50,
N fertilizer,10.60209,10.764439,11.54757358,11.61516988,10.57747028,9.131152422,7.610960351,6.090768281,4.570576211,3.050384141,1.53019207,0.01,
electricity,307.6203313,319.8453463,412.0430939,464.874198,510.3263516,549.973139,458.3126158,366.6520926,274.9915695,183.3310463,91.67052316,0.01,
iron and steel,70.2436328,81.6077457,86.2725164,86.12863112,87.5563111,101.0750601,84.23088338,67.3867067,50.54253003,33.69835335,16.85417668,0.01,
cement,44.3956055,48.3745927,67.74836667,75.97370965,92.69759718,110.0965338,100.0804448,90.06435585,80.04826689,70.03217793,60.01608896,50,
N fertilizer,10.60209,10.764439,11.54757358,11.61516988,11.04241402,9.753730996,8.12977583,6.505820664,4.881865498,3.257910332,1.633955166,0.01,
electricity,307.6203313,319.8453463,412.0430939,479.7106086,538.6778156,587.4713075,489.5610896,391.6508717,293.7406538,195.8304358,97.92021792,0.01,
