elec_refined liquids (steam/CT)	refined liquids (steam/CT)	refined liquids (steam/CT) (dry cooling)
elec_refined liquids (steam/CT)	refined liquids (steam/CT)	refined liquids (steam/CT) (once through)
elec_refined liquids (steam/CT)	refined liquids (steam/CT)	refined liquids (steam/CT) (recirculating)
elec_refined liquids (steam/CT)	refined liquids (steam/CT)	refined liquids (steam/CT) (seawater)
elec_refined liquids (CC)	refined liquids (CC)	refined liquids (CC) (dry cooling)
elec_refined liquids (CC)	refined liquids (CC)	refined liquids (CC) (once through)
elec_refined liquids (CC)	refined liquids (CC)	refined liquids (CC) (recirculating)
elec_refined liquids (CC)	refined liquids (CC)	refined liquids (CC) (seawater)
elec_refined liquids (CC CCS)	refined liquids (CC CCS)	refined liquids (CC CCS) (dry cooling)
elec_refined liquids (CC CCS)	refined liquids (CC CCS)	refined liquids (CC CCS) (once through)
elec_refined liquids (CC CCS)	refined liquids (CC CCS)	refined liquids (CC CCS) (recirculating)
elec_refined liquids (CC CCS)	refined liquids (CC CCS)	refined liquids (CC CCS) (seawater)
elec_gas (steam/CT)	gas (steam/CT)	gas (steam/CT) (dry cooling)
elec_gas (steam/CT)	gas (steam/CT)	gas (steam/CT) (once through)
elec_gas (steam/CT)	gas (steam/CT)	gas (steam/CT) (recirculating)
elec_gas (steam/CT)	gas (steam/CT)	gas (steam/CT) (seawater)
elec_gas (CC)	gas (CC)	gas (CC) (dry cooling)
elec_gas (CC)	gas (CC)	gas (CC) (once through)
elec_gas (CC)	gas (CC)	gas (CC) (recirculating)
elec_gas (CC)	gas (CC)	gas (CC) (seawater)
elec_gas (CC CCS)	gas (CC CCS)	gas (CC CCS) (dry cooling)
elec_gas (CC CCS)	gas (CC CCS)	gas (CC CCS) (once through)
elec_gas (CC CCS)	gas (CC CCS)	gas (CC CCS) (recirculating)
elec_gas (CC CCS)	gas (CC CCS)	gas (CC CCS) (seawater)
elec_coal (conv pul)	coal (conv pul)	coal (conv pul) (dry cooling)
elec_coal (conv pul)	coal (conv pul)	coal (conv pul) (once through)
elec_coal (conv pul)	coal (conv pul)	coal (conv pul) (recirculating)
elec_coal (conv pul)	coal (conv pul)	coal (conv pul) (seawater)
elec_coal (conv pul CCS)	coal (conv pul CCS)	coal (conv pul CCS) (dry cooling)
elec_coal (conv pul CCS)	coal (conv pul CCS)	coal (conv pul CCS) (once through)
elec_coal (conv pul CCS)	coal (conv pul CCS)	coal (conv pul CCS) (recirculating)
elec_coal (conv pul CCS)	coal (conv pul CCS)	coal (conv pul CCS) (seawater)
elec_coal (IGCC)	coal (IGCC)	coal (IGCC) (dry cooling)
elec_coal (IGCC)	coal (IGCC)	coal (IGCC) (once through)
elec_coal (IGCC)	coal (IGCC)	coal (IGCC) (recirculating)
elec_coal (IGCC)	coal (IGCC)	coal (IGCC) (seawater)
elec_coal (IGCC CCS)	coal (IGCC CCS)	coal (IGCC CCS) (dry cooling)
elec_coal (IGCC CCS)	coal (IGCC CCS)	coal (IGCC CCS) (once through)
elec_coal (IGCC CCS)	coal (IGCC CCS)	coal (IGCC CCS) (recirculating)
elec_coal (IGCC CCS)	coal (IGCC CCS)	coal (IGCC CCS) (seawater)
elec_biomass (conv)	biomass (conv)	biomass (conv) (dry cooling)
elec_biomass (conv)	biomass (conv)	biomass (conv) (once through)
elec_biomass (conv)	biomass (conv)	biomass (conv) (recirculating)
elec_biomass (conv)	biomass (conv)	biomass (conv) (seawater)
elec_biomass (conv CCS)	biomass (conv CCS)	biomass (conv CCS) (dry cooling)
elec_biomass (conv CCS)	biomass (conv CCS)	biomass (conv CCS) (once through)
elec_biomass (conv CCS)	biomass (conv CCS)	biomass (conv CCS) (recirculating)
elec_biomass (conv CCS)	biomass (conv CCS)	biomass (conv CCS) (seawater)
elec_biomass (IGCC)	biomass (IGCC)	biomass (IGCC) (dry cooling)
elec_biomass (IGCC)	biomass (IGCC)	biomass (IGCC) (once through)
elec_biomass (IGCC)	biomass (IGCC)	biomass (IGCC) (recirculating)
elec_biomass (IGCC)	biomass (IGCC)	biomass (IGCC) (seawater)
elec_biomass (IGCC CCS)	biomass (IGCC CCS)	biomass (IGCC CCS) (dry cooling)
elec_biomass (IGCC CCS)	biomass (IGCC CCS)	biomass (IGCC CCS) (once through)
elec_biomass (IGCC CCS)	biomass (IGCC CCS)	biomass (IGCC CCS) (recirculating)
elec_biomass (IGCC CCS)	biomass (IGCC CCS)	biomass (IGCC CCS) (seawater)
